date,open,high,low,close,volume,unadjusted,putthrough
2018-06-27,26.8837,27.2705,25.9167,25.9166,1931320,26.8000,0
2018-06-28,25.5298,25.9166,24.9496,25.0463,3833920,25.9000,0
2018-06-29,25.1430,25.8199,24.8529,25.1430,2112720,26.0000,0
2018-07-02,24.6595,25.1430,23.5474,23.9342,3542250,24.7500,0
2018-07-03,23.9826,24.3210,22.2902,22.2902,4944960,23.0500,40000
2018-07-04,22.2902,22.3869,21.2265,22.1452,4641640,22.9000,0
2018-07-05,21.8067,22.2903,20.5979,20.8880,3044050,21.6000,0
2018-07-06,20.6946,22.3386,20.1627,22.3386,5061910,23.1000,230000
2018-07-09,22.8221,23.5958,22.4837,22.5320,5423120,23.3000,20000
2018-07-10,22.9188,23.5474,22.6287,22.8704,3612750,23.6500,0
2018-07-11,22.0484,22.2418,21.2748,21.3715,5441810,22.1000,50000
2018-07-12,21.6616,22.8221,21.3231,22.2419,2508790,23.0000,0
2018-07-13,22.7254,23.2089,22.5320,22.7254,3138160,23.5000,20000
2018-07-16,23.2089,23.5957,22.9188,23.3540,2912010,24.1500,0
2018-07-17,22.8221,24.3210,22.8221,24.0792,3991770,24.9000,0
2018-07-18,24.1759,25.3363,24.0792,25.2880,4012340,26.1500,0
2018-07-19,25.1429,25.3364,24.6594,24.9496,3344910,25.8000,0
2018-07-20,24.5628,25.0463,23.9826,24.5628,4279270,25.4000,0
2018-07-23,24.5628,25.3364,23.9826,23.9825,3124370,24.8000,0
2018-07-24,23.8858,24.6594,23.2089,23.9825,2591310,24.8000,0
2018-07-25,24.1759,24.3210,22.8221,22.8221,2773760,23.6000,0
2018-07-26,22.8221,23.3056,22.4836,23.3056,2364560,24.1000,0
2018-07-27,23.3056,24.1276,23.2089,23.9825,2031060,24.8000,0
2018-07-30,24.3693,25.4331,24.1759,25.4331,3793610,26.3000,0
2018-07-31,25.3364,26.0617,24.9979,25.4331,5307160,26.3000,0
2018-08-01,25.4331,25.9166,25.1430,25.4331,3487790,26.3000,0
2018-08-02,25.1430,25.3364,24.4661,25.3364,3523250,26.2000,0
2018-08-03,25.7232,25.8199,25.4331,25.6749,2585620,26.5500,100000
2018-08-06,25.7233,26.6903,25.1914,25.9650,3262290,26.8500,0
2018-08-07,25.4331,26.7870,25.4331,26.5452,3707270,27.4500,0
2018-08-08,26.5936,28.2375,26.5936,28.2375,4507240,29.2000,0
2018-08-09,28.5276,28.8177,27.8507,27.8990,3444030,28.8500,0
2018-08-10,27.6572,28.9144,27.5605,28.9144,4423770,29.9000,150000
2018-08-13,28.7210,29.8331,28.6243,29.4947,3670180,30.5000,0
2018-08-14,29.4947,29.6398,28.9145,29.0111,2187220,30.0000,0
2018-08-15,29.4946,29.6880,27.6572,28.3342,4946070,29.3000,0
2018-08-16,27.9957,29.0595,27.0771,29.0111,5017400,30.0000,0
2018-08-17,29.5913,30.6551,29.1078,30.0749,4664800,31.1000,50000
2018-08-20,29.9782,30.7518,29.7848,30.3650,3573200,31.4000,0
2018-08-21,29.9782,31.9123,29.9782,31.9123,4070460,33.0000,0
2018-08-22,32.1057,32.5892,31.3321,31.4287,4346680,32.5000,0
2018-08-23,31.6221,32.3957,31.1386,31.9606,3335590,33.0500,0
2018-08-24,31.5254,32.4441,31.5254,32.2991,2775350,33.4000,0
